"created_at","screen_name","text","source","retweet_count","favorite_count"
2019-07-24 21:33:40,"realDonaldTrump","Even Michael Moore agrees that the Dems and Mueller blew it! https://t.co/ZFPb50vi4v","Twitter for iPhone",19236,75098
2019-07-24 21:29:01,"realDonaldTrump","“The kind of questions the White House Correspondents were asking is almost like they didn’t see what went on at the hearings!” @JesseBWatters  The hearings were a disaster for Robert Mueller &amp; the Democrats. Nevertheless, the Fake News Media will try to make the best out of it!","Twitter for iPhone",14262,59777
2019-07-24 19:33:51,"realDonaldTrump","TRUTH IS A FORCE OF NATURE!","Twitter for iPhone",49770,220525
2019-07-24 18:34:39,"realDonaldTrump","THREAD: Statement from Jay Sekulow, Counsel to the President:

“This morning’s testimony exposed the troubling deficiencies of the Special Counsel’s investigation. The testimony revealed that this probe was conducted by a small group of politically-biased prosecutors...","Twitter for iPhone",15980,0
2019-07-24 18:23:53,"realDonaldTrump","Another Democrat theory shot down, and the truth we’ve known for months reaffirmed: https://t.co/vFvNn8MvbL","Twitter for iPhone",17278,0
2019-07-24 18:23:39,"realDonaldTrump","It's not enough for Mr. Mueller to be able to vouch for his team. Federal recusal law exists for a reason. The interest of justice demands that no perceived biases exist. 

I can't imagine a judge I've appeared in front of who would be comfortable with these circumstances. https://t.co/qX6ocZBnGJ","Twitter for iPhone",14761,0
2019-07-24 18:16:25,"realDonaldTrump","https://t.co/tNxUyfQIgD","Twitter for iPhone",15497,55085
2019-07-24 18:08:45,"realDonaldTrump","https://t.co/wiOTBHQYt6","Twitter for iPhone",16332,57493
2019-07-24 17:24:00,"realDonaldTrump","Gaetz: ""Can you state with confidence the Steele dossier was not part of Russia's disinformation campaign?""

Mueller: ""With regard to Steele...that's beyond my purview.""

Gaetz: ""It's exactly your purview! The organizing principle was to fully investigate Russia's interference!"" https://t.co/z5E5Gl7xZU","Twitter for iPhone",31322,0
2019-07-24 17:17:56,"realDonaldTrump","Why didn't Mueller charge Joseph Mifsud for lying to the FBI? https://t.co/34E6TSigcM","Twitter for iPhone",31518,0
2019-07-24 17:17:25,"realDonaldTrump","#MuellerReport #WitchHunt https://t.co/6Mhdrl7rRF","Twitter for iPhone",9789,0
2019-07-24 17:04:08,"realDonaldTrump","I would like to thank the Democrats for holding this morning’s hearing. Now, after 3 hours, Robert Mueller has to subject himself to #ShiftySchiff - an Embarrassment to our Country!","Twitter for iPhone",27697,121516
2019-07-24 15:41:24,"realDonaldTrump","@realDonaldTrump @KatiePavlich @FoxNews Boom 💥 Jim Jordan just blew the lid off the Hoax as Mueller cowers &amp; refuses to answer important questions like why the person who started the fake Russia hoax was interviewed &amp; not charged for lying but Trump associates were charged for unrelated &amp; process crimes.. https://t.co/HCth0DWRXr","Twitter for iPhone",13516,0
2019-07-24 15:36:41,"realDonaldTrump","@realDonaldTrump @KatiePavlich @FoxNews No collusion. No obstruction, No impeachment. Shut the coup cabal down!","Twitter for iPhone",13679,0
2019-07-24 14:51:10,"realDonaldTrump","“Mueller was asked whether or not the investigation was impeded in any way, and he said no.” In other words, there was NO OBSTRUCTION. @KatiePavlich @FoxNews","Twitter for iPhone",23983,95070
2019-07-24 14:11:16,"realDonaldTrump","“This has been a disaster for the Democrats and a disaster for the reputation of Robert Mueller.” Chris Wallace @FoxNews","Twitter for iPhone",21962,88912
2019-07-24 12:18:57,"realDonaldTrump","....interview, including the Vice President of the United States!","Twitter for iPhone",13365,68448
2019-07-24 12:18:57,"realDonaldTrump","It has been reported that Robert Mueller is saying that he did not apply and interview for the job of FBI Director (and get turned down) the day before he was wrongfully appointed Special Counsel. Hope he doesn’t say that under oath in that we have numerous witnesses to the...","Twitter for iPhone",19345,87454
2019-07-24 12:10:40,"realDonaldTrump","KEEP AMERICA GREAT!","Twitter for iPhone",25681,141108
2019-07-24 11:55:59,"realDonaldTrump","NO COLLUSION, NO OBSTRUCTION!","Twitter for iPhone",20034,100016
